source	time	heading	story	url
NEWS.com.au	1549871462	Child brides Australia: Children as young as six forced into marriage	Children as young as six years old are being forced into child marriage in Australia, and more than 100 cases of forced child marriage are currently being ...	https://news.google.com/articles/CBMinAFodHRwczovL3d3dy5uZXdzLmNvbS5hdS9saWZlc3R5bGUvcmVhbC1saWZlL25ld3MtbGlmZS9zaG9ja2luZy1yZWFsaXR5LWZvci1hdXN0cmFsaWFzLXZpY3RpbXMtb2YtZm9yY2VkLW1hcnJpYWdlL25ld3Mtc3RvcnkvNGY4ZWYwOTIyMzdjMjYwNmQ4NDVmMWVjZjdiNDVkZjnSAeQBaHR0cHM6Ly9hbXAtbmV3cy1jb20tYXUuY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9hbXAubmV3cy5jb20uYXUvbGlmZXN0eWxlL3JlYWwtbGlmZS9uZXdzLWxpZmUvc2hvY2tpbmctcmVhbGl0eS1mb3ItYXVzdHJhbGlhcy12aWN0aW1zLW9mLWZvcmNlZC1tYXJyaWFnZS9uZXdzLXN0b3J5LzRmOGVmMDkyMjM3YzI2MDZkODQ1ZjFlY2Y3YjQ1ZGY5P2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
The Star Online	1549889100	MCA Youth calls on govt to take firm stand on child marriage issue - Nation	PETALING JAYA: The government must take a firm stand on child marriage issues by criminalising the act and safeguarding the rights of children, says MCA ...	https://news.google.com/articles/CAIiEPuocjYw5n-xsZmjCr6S4YkqGQgEKhAIACoHCAow-N7eCjC60NYBMLfbhwM?hl=en-IN&gl=IN&ceid=IN%3Aen
OrissaPOST	1549899900	Child marriage foiled	Koraput: A bid to marry-off a minor girl was foiled by the Koraput district Child Welfare Committee (CWC) and Kundura police at Bamunigaon under Jeypore PS ...	https://news.google.com/articles/CBMiMGh0dHA6Ly93d3cub3Jpc3NhcG9zdC5jb20vY2hpbGQtbWFycmlhZ2UtZm9pbGVkL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
India Today	1549876500	1 in 5 women married before their 18th birthday globally: Facts	When a girl is forced to marry as a child, she faces immediate and lifelong consequences. Her odds of finishing school decrease, while her odds of experiencing ...	https://news.google.com/articles/CBMilAFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2VkdWNhdGlvbi10b2RheS9nay1jdXJyZW50LWFmZmFpcnMvc3RvcnkvZ2xvYmFsbHktMS1pbi01LXdvbWVuLW1hcnJpZWQtYmVmb3JlLXRoZWlyLTE4dGgtYmlydGhkYXktZmFjdHMtMTQ1MzI2Mi0yMDE5LTAyLTEx0gHiAWh0dHBzOi8vd3d3LWluZGlhdG9kYXktaW4uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cuaW5kaWF0b2RheS5pbi9hbXAvZWR1Y2F0aW9uLXRvZGF5L2drLWN1cnJlbnQtYWZmYWlycy9zdG9yeS9nbG9iYWxseS0xLWluLTUtd29tZW4tbWFycmllZC1iZWZvcmUtdGhlaXItMTh0aC1iaXJ0aGRheS1mYWN0cy0xNDUzMjYyLTIwMTktMDItMTE_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
Jakarta Globe	1549612800	Child Marriage: Empowerment, Education and Opportunity Crucial for Young Brides	While the ultimate goal is to end child marriage, educating girls prior, during and after marriage is crucial to their development.	https://news.google.com/articles/CBMibWh0dHBzOi8vamFrYXJ0YWdsb2JlLmlkL2NvbnRleHQvY2hpbGQtbWFycmlhZ2UtZW1wb3dlcm1lbnQtZWR1Y2F0aW9uLWFuZC1vcHBvcnR1bml0eS1jcnVjaWFsLWZvci15b3VuZy1icmlkZXPSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
RadioFarda	1549820280	Grand Ayatollah Speaks Out Against Child Marriage	The story of an 11-year-old girl, Raha, has once again set off another round of muscle flexing by ayatollahs and Shi'ite sources of emulation over the legal age ...	https://news.google.com/articles/CBMiYGh0dHBzOi8vZW4ucmFkaW9mYXJkYS5jb20vYS9pcmFuLWdyYW5kLWF5YXRvbGxhaC1zcGVha3MtcHV0LWFnYWluc3QtY2hpbGQtbWFycmlhZ2UvMjk3NjIwOTUuaHRtbNIBdWh0dHBzOi8vZW4tcmFkaW9mYXJkYS1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9lbi5yYWRpb2ZhcmRhLmNvbS9hbXAvMjk3NjIwOTUuaHRtbD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ?hl=en-IN&gl=IN&ceid=IN%3Aen
SheThePeople	1549699612	Bengal Tops In Child Marriages: Family Health Survey Report	The latest NFHS-4 report conducted in 2015-16 revealed that West Bengal tops the list of states having most number of child marriages.	https://news.google.com/articles/CBMiO2h0dHBzOi8vd3d3LnNoZXRoZXBlb3BsZS50di9uZXdzL2JlbmdhbC10b3BzLWNoaWxkLW1hcnJpYWdl0gGLAWh0dHBzOi8vd3d3LXNoZXRoZXBlb3BsZS10di5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy5zaGV0aGVwZW9wbGUudHYvbmV3cy9iZW5nYWwtdG9wcy1jaGlsZC1tYXJyaWFnZS9hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
Arabnews	1547971200	The fight to end child marriage	RIYADH: When Saudi Arabia's Shoura Council voted on Jan. 11 to ban child marriage in the Kingdom, it joined a global movement seeking to end a practice that ...	https://news.google.com/articles/CAIiEFtL01Ti76klA_SQvDUXt9AqGAgEKg8IACoHCAowuImhCTDYnnEwlP-NAw?hl=en-IN&gl=IN&ceid=IN%3Aen
Deccan Herald	1549770989	Child Marriage Alive and thriving in Karnataka	72 years of independence and numerous legislative and legal measures later, the evil practice of child marriage seems to be alive and thriving in Karnataka.	https://news.google.com/articles/CBMiUWh0dHBzOi8vd3d3LmRlY2NhbmhlcmFsZC5jb20vdmlkZW8va2FybmF0YWthL2NoaWxkLW1hcnJpYWdlLWFsaXZlLWFuZC03MTc2NTEuaHRtbNIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
The Sun Daily	1549801320	Child marriage not a common practice among Rohingya community	KUALA LUMPUR: Child marriage is not a common practice among the Rohingya community, the Myanmar Ethnic Rohingya Human Rights Organisation ...	https://news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3LnRoZXN1bmRhaWx5Lm15L2xvY2FsL2NoaWxkLW1hcnJpYWdlLW5vdC1hLWNvbW1vbi1wcmFjdGljZS1hbW9uZy1yb2hpbmd5YS1jb21tdW5pdHktRkk0OTc0NTbSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
sportanddev.org	1549630668	Why sports for child marriage prevention advocacy?	Sports can be used as a tool for child marriage prevention campaigning. Recently the United Nations has passed a resolution in favour of the use of sports to ...	https://news.google.com/articles/CBMiWWh0dHBzOi8vd3d3LnNwb3J0YW5kZGV2Lm9yZy9lbi9hcnRpY2xlL25ld3Mvd2h5LXNwb3J0cy1jaGlsZC1tYXJyaWFnZS1wcmV2ZW50aW9uLWFkdm9jYWN50gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Human Rights Watch	1547884800	Marching to End Child Marriage in Massachusetts	Today, I'll join the Women's March in Boston to demand an end to child marriage in Massachusetts. My two grandmothers were both child brides in Trinidad and ...	https://news.google.com/articles/CBMiTWh0dHBzOi8vd3d3Lmhydy5vcmcvbmV3cy8yMDE5LzAxLzE5L21hcmNoaW5nLWVuZC1jaGlsZC1tYXJyaWFnZS1tYXNzYWNodXNldHRz0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Deccan Herald	1549817581	An evil that won't go away	The continuing practice of child marriage in India is reason for concern. According to the 4th National Family Health Survey (NHFS), which was conducted in ...	https://news.google.com/articles/CBMiT2h0dHBzOi8vd3d3LmRlY2NhbmhlcmFsZC5jb20vb3Bpbmlvbi9zZWNvbmQtZWRpdC9ldmlsLXdvbi10LWdvLWF3YXktNzE3NzQ0Lmh0bWzSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
UNICEF	1549842173	Fast Facts: 10 facts illustrating why we must #EndChildMarriage	Download the video of a child bride meeting her new husband here. Globally, 1 in 5 women were married before their 18th birthday. When a girl is forced to ...	https://news.google.com/articles/CBMiY2h0dHBzOi8vd3d3LnVuaWNlZi5vcmcvcHJlc3MtcmVsZWFzZXMvZmFzdC1mYWN0cy0xMC1mYWN0cy1pbGx1c3RyYXRpbmctd2h5LXdlLW11c3QtZW5kY2hpbGRtYXJyaWFnZdIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
Malaysiakini	1549703400	Shameful reporting on child marriage in Prai by local daily	LETTER | I refer to a news article by a Malay daily on Feb 9, 2019, titled “Saya Nak Kahwin”. This is one of the most disgusting articles that I have come across.	https://news.google.com/articles/CBMiK2h0dHBzOi8vd3d3Lm1hbGF5c2lha2luaS5jb20vbGV0dGVycy80NjMzMTHSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
Pursuit	1548894287	Reversing Indonesia’s child marriage laws	Indonesia has ruled that child marriage violates children's rights; a University of Melbourne expert says it's an important step toward gender equality.	https://news.google.com/articles/CBMiUWh0dHBzOi8vcHVyc3VpdC51bmltZWxiLmVkdS5hdS9hcnRpY2xlcy9yZXZlcnNpbmctaW5kb25lc2lhLXMtY2hpbGQtbWFycmlhZ2UtbGF3c9IBpAFodHRwczovL3B1cnN1aXQtdW5pbWVsYi1lZHUtYXUuY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9wdXJzdWl0LnVuaW1lbGIuZWR1LmF1L2FydGljbGVzL3JldmVyc2luZy1pbmRvbmVzaWEtcy1jaGlsZC1tYXJyaWFnZS1sYXdzLmFtcD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ?hl=en-IN&gl=IN&ceid=IN%3Aen
Times of India	1548662400	Child marriage is a dangerous burden: Sumitra Mahajan	ALLAHABAD: Child marriage is a dangerous burden, a girl who is not physically or mentally ready, is not mature and does not understand the world must .	https://news.google.com/articles/CAIiEMtwqnA3zLyoFX5VbYwgD4QqGQgEKhAIACoHCAowzrL9CjDC7vQCMKCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen
Yahoo News	1549605891	Report: Police and local activist stop child marriage involving 11-year-old girl in Penang	Local media outlet, The Sun, is reporting that police, along with a well-known community activist, were able to stop a child marriage between an 11-year-old girl ...	https://news.google.com/articles/CBMiSmh0dHBzOi8vc2cubmV3cy55YWhvby5jb20vcmVwb3J0LXBvbGljZS1sb2NhbC1hY3RpdmlzdC1zdG9wLTA1NTU0NzA2MS5odG1s0gGcAWh0dHBzOi8vc2ctbmV3cy15YWhvby1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9zZy5uZXdzLnlhaG9vLmNvbS9hbXBodG1sL3JlcG9ydC1wb2xpY2UtbG9jYWwtYWN0aXZpc3Qtc3RvcC0wNTU1NDcwNjEuaHRtbD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ?hl=en-IN&gl=IN&ceid=IN%3Aen
Open Democracy	1549443900	We have to stop blaming 'backward' culture for FGM and child marriage	These issues have received increased global attention. But simple attacks on 'tradition and culture' just fuel the backlash to women's rights. Kenya Girl Guides ...	https://news.google.com/articles/CBMiYmh0dHBzOi8vd3d3Lm9wZW5kZW1vY3JhY3kubmV0LzUwNTAvc2FyYS13L3N0b3AtYmxhbWluZy1iYWNrd2FyZC1jdWx0dXJlLWZvci1GR00tYW5kLWNoaWxkLW1hcnJpYWdl0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Reuters	1547539200	Kenyan girl's rescue shows community key to ending child marriage	NAIROBI (Thomson Reuters Foundation) - The rare rescue of a 12-year-old Kenyan girl forced to marry and have sex with a man almost three times her age ...	https://news.google.com/articles/CBMiiwFodHRwczovL3d3dy5yZXV0ZXJzLmNvbS9hcnRpY2xlL3VzLWtlbnlhLXdvbWVuLWNoaWxkbWFycmlhZ2Uva2VueWFuLWdpcmxzLXJlc2N1ZS1zaG93cy1jb21tdW5pdHkta2V5LXRvLWVuZGluZy1jaGlsZC1tYXJyaWFnZS1pZFVTS0NOMVA5MVdU0gF_aHR0cHM6Ly9tb2JpbGUtcmV1dGVycy1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9tb2JpbGUucmV1dGVycy5jb20vYXJ0aWNsZS9hbXAvaWRVU0tDTjFQOTFXVD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ?hl=en-IN&gl=IN&ceid=IN%3Aen
Face2Face Africa	1548057600	These are the only American states to completely ban child marriage	Over the weekend, the third edition of the Women's March took place, with women across the U.S. and the world calling for gender equality. The march looks to ...	https://news.google.com/articles/CBMiZ2h0dHBzOi8vZmFjZTJmYWNlYWZyaWNhLmNvbS9hcnRpY2xlL3RoZXNlLWFyZS10aGUtb25seS1hbWVyaWNhbi1zdGF0ZXMtdG8tY29tcGxldGVseS1iYW4tY2hpbGQtbWFycmlhZ2XSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
Eleven Myanmar	1549702608	Child marriage still in practice in the Chepang community | #AsiaNewsNetwork	Thirteen-year-old Sunita Chepang, a sixth-grade student of Suryodaya Secondary School in Sarikhet Palase of Raksirang Rural Municipality in Makwanpur ...	https://news.google.com/articles/CBMiaGh0dHBzOi8vZWxldmVubXlhbm1hci5jb20vbmV3cy9jaGlsZC1tYXJyaWFnZS1zdGlsbC1pbi1wcmFjdGljZS1pbi10aGUtY2hlcGFuZy1jb21tdW5pdHktYXNpYW5ld3NuZXR3b3Jr0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Times of India	1549565280	14-year-old child marriage victim gives birth	Tirupur: The district child protection unit and social welfare department have launched an investigation after a 14-year-old girl, who was married off to a ...	https://news.google.com/articles/CAIiECLAU7KDNRxDaocArsPpVIoqGQgEKhAIACoHCAowzrL9CjDC7vQCMKCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen
Daily Times	1549393680	The menace of child marriage plagues our society	It is the right of every girl to say no to marriage if she pleases and pursue her education. We do know that girls are the backbone of every developed and ...	https://news.google.com/articles/CBMiUmh0dHBzOi8vZGFpbHl0aW1lcy5jb20ucGsvMzUxNDk5L3RoZS1tZW5hY2Utb2YtY2hpbGQtbWFycmlhZ2UtcGxhZ3Vlcy1vdXItc29jaWV0eS_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
WSAV-TV	1547798400	SC leaders want to update state's child marriage laws	Several South Carolina lawmakers are trying to update the state's marriage laws--specifically the part pertaining to age requirements. More than 5000 girls ...	https://news.google.com/articles/CBMieWh0dHBzOi8vd3d3LndzYXYuY29tL25ld3MvbG9jYWwtbmV3cy9zb3V0aC1jYXJvbGluYS1uZXdzL3NjLWxlYWRlcnMtd2FudC10by11cGRhdGUtc3RhdGUtcy1jaGlsZC1tYXJyaWFnZS1sYXdzLzE3MDk0MTkzMDLSAcIBaHR0cHM6Ly93d3ctd3Nhdi1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cud3Nhdi5jb20vYW1wL25ld3MvbG9jYWwtbmV3cy9zb3V0aC1jYXJvbGluYS1uZXdzL3NjLWxlYWRlcnMtd2FudC10by11cGRhdGUtc3RhdGUtcy1jaGlsZC1tYXJyaWFnZS1sYXdzLzE3MDk0MTkzMDI_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
Times of India	1548993300	17-year-old girl rescued from child marriage	CHENNAI: A 17-year-old girl was rescued just before she was to be married off to a relative at Maduravoyal on Thursday. Police stopped the child marriage at a ...	https://news.google.com/articles/CAIiEAoICbcEMbxDA8-OapfCYkgqGQgEKhAIACoHCAowzrL9CjDC7vQCMKCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen
NBC News	1548144000	Advocates slam thousands of child marriages in U.S., demand Congress act	Activists seeking to end child marriages in the U.S. told NBC News that they hope a new report could prompt Congress to address the issue once and for all.	https://news.google.com/articles/CAIiEOfm1bbsAiVo-6PYzRHM8tMqGQgEKhAIACoHCAowvIaCCzDnxf4CMP2F8gU?hl=en-IN&gl=IN&ceid=IN%3Aen
WLS-TV	1547452800	Thousands of requests to bring in child brides approved; legal under US laws	Thousands of requests by men to bring in child and adolescent brides to live in the United States were approved over the past decade, according to government ...	https://news.google.com/articles/CBMiVmh0dHBzOi8vYWJjN2NoaWNhZ28uY29tL3NvY2lldHkvdXMtYXBwcm92ZWQtdGhvdXNhbmRzLW9mLWNoaWxkLWJyaWRlLXJlcXVlc3RzLzUwNzQ2OTMv0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Times of India	1548662400	Gujarat sees 21% jump in reporting of child marriages	AHMEDABAD: Counsellors of Abhayam 181 helpline received a call in the dead of night that two couples ready to tie the knot at a mass marriage in a vil.	https://news.google.com/articles/CAIiEPWZFQ8I4EQivm8p9YbdAFMqGQgEKhAIACoHCAowzrL9CjDC7vQCMKCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen
The Star Online	1549431360	Child marriage guidelines needed to make ban a reality - Nation	KOTA KINABALU: Sabah must formulate special guidelines to ensure that the state government's decision to ban child marriages involving those below 18 years ...	https://news.google.com/articles/CAIiEF2YVRElRIIhxLLQEnm15lwqGQgEKhAIACoHCAow-N7eCjC60NYBMInmqgU?hl=en-IN&gl=IN&ceid=IN%3Aen
Times of India	1548921600	Odisha prepares strategy paper to curb child marriage	BHUBANESWAR: The Odisha government has prepared a strategy paper to stop child marriages in the state. It puts emphasis on building capacity of law ...	https://news.google.com/articles/CAIiEFUvPSiTsDXgaBYmblrPDAQqGQgEKhAIACoHCAowzrL9CjDC7vQCMKCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen
The Hindu	1548230400	No check on child marriages in district despite govt. efforts	A few months ago, a 15-year-old girl from Arilova approached officials of the Women and Child Welfare Department, complaining that her parents were forcing ...	https://news.google.com/articles/CBMihgFodHRwczovL3d3dy50aGVoaW5kdS5jb20vbmV3cy9uYXRpb25hbC9hbmRocmEtcHJhZGVzaC9uby1jaGVjay1vbi1jaGlsZC1tYXJyaWFnZXMtaW4tZGlzdHJpY3QtZGVzcGl0ZS1nb3Z0LWVmZm9ydHMvYXJ0aWNsZTI2MDY0MjM1LmVjZdIB1AFodHRwczovL3d3dy10aGVoaW5kdS1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cudGhlaGluZHUuY29tL25ld3MvbmF0aW9uYWwvYW5kaHJhLXByYWRlc2gvbm8tY2hlY2stb24tY2hpbGQtbWFycmlhZ2VzLWluLWRpc3RyaWN0LWRlc3BpdGUtZ292dC1lZmZvcnRzL2FydGljbGUyNjA2NDIzNS5lY2UvYW1wLz9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ?hl=en-IN&gl=IN&ceid=IN%3Aen
Immigration Blog	1547712000	USCIS Should Take a Stand Against Child Marriage	"There's no minimum age for spousal immigration, but the marriage is required to be ""valid"". Defining underage marriages as not valid for immigration purposes ..."	https://news.google.com/articles/CBMiRWh0dHBzOi8vY2lzLm9yZy9DYWRtYW4vVVNDSVMtU2hvdWxkLVRha2UtU3RhbmQtQWdhaW5zdC1DaGlsZC1NYXJyaWFnZdIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
Herald Sun	1549828620	Forced marriage case reported to authorities every week	A forced marriage case is referred to federal authorities every week in Australia, but there has not been a single criminal conviction in the past six years.	https://news.google.com/articles/CBMijgFodHRwczovL3d3dy5oZXJhbGRzdW4uY29tLmF1L25ld3MvdmljdG9yaWEvZm9yY2VkLW1hcnJpYWdlLWNhc2UtcmVwb3J0ZWQtdG8tYXV0aG9yaXRpZXMtZXZlcnktd2Vlay9uZXdzLXN0b3J5L2JlMGNiMzdhZjI0ZDhlYTZjMmEzZmMxMDVmOWZiMGQx0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
FrontPage Magazine	1547712000	2000 Muslim Child Marriage Immigration Cases in 10 Years	378 petitions were filed to marry 10-year-old girls and younger.	https://news.google.com/articles/CBMiaWh0dHBzOi8vd3d3LmZyb250cGFnZW1hZy5jb20vZnBtLzI3MjU1My8yMDAwLW11c2xpbS1jaGlsZC1tYXJyaWFnZS1pbW1pZ3JhdGlvbi1jYXNlcy0xMC1kYW5pZWwtZ3JlZW5maWVsZNIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
Daily Trust	1549388280	117000 sign petition to ban child marriage	Nearly 117000 people have signed an online petition calling on the Nigerian government to raise the age of marriage to eighteen years nationwide.	https://news.google.com/articles/CBMiTWh0dHBzOi8vd3d3LmRhaWx5dHJ1c3QuY29tLm5nLzExNzAwMC1zaWduLXBldGl0aW9uLXRvLWJhbi1jaGlsZC1tYXJyaWFnZS5odG1s0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Times of India	1548403200	Girls felicitated for stopping child marriages	JAIPUR: Khushi Chauhan of Bundi district looked elated when her name was called from the stage to collect an award for stopping her friend's child mar.	https://news.google.com/articles/CAIiEFwfd-kaLUlMsCO_OHG94BYqGQgEKhAIACoHCAowzrL9CjDC7vQCMKCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen
The Hill	1548748800	US facilitating forced marriage of children: Immigration loophole invoked hundreds of times each year | TheHill	The AHA Foundation informed the Senate Homeland Security and Government Affairs Committee a year ago about a loophole in immigration law that ...	https://news.google.com/articles/CBMid2h0dHBzOi8vdGhlaGlsbC5jb20vb3Bpbmlvbi9pbW1pZ3JhdGlvbi80MjczODEtdXMtZmFjaWxpdGF0aW5nLWZvcmNlZC1tYXJyaWFnZS1vZi1jaGlsZHJlbi1pbW1pZ3JhdGlvbi1sb29waG9sZS1pbnZva2Vk0gG_AWh0dHBzOi8vdGhlaGlsbC1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy90aGVoaWxsLmNvbS9vcGluaW9uL2ltbWlncmF0aW9uLzQyNzM4MS11cy1mYWNpbGl0YXRpbmctZm9yY2VkLW1hcnJpYWdlLW9mLWNoaWxkcmVuLWltbWlncmF0aW9uLWxvb3Bob2xlLWludm9rZWQ_YW1wJmFtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
THE WEEK	1547625600	Child marriages: The plight of child grooms nobody talks about	Girl children have always been at the centre of discourses on child marriage. child marriage. boys. child grooms.	https://news.google.com/articles/CBMidGh0dHBzOi8vd3d3LnRoZXdlZWsuaW4vbGVpc3VyZS9zb2NpZXR5LzIwMTkvMDEvMTYvY2hpbGQtbWFycmlhZ2VzLXRoZS1wbGlnaHQtb2YtY2hpbGQtZ3Jvb21zLW5vYm9keS10YWxrcy1hYm91dC5odG1s0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
TODAYonline	1548662400	Child marriage cannot be condoned, even if religion does, says M'sian MP	KUALA LUMPUR — Kinabatangan MP Bung Moktar Radin has pledged to support Pakatan Harapan's (PH) effort to combat child marriages. In an interview with ...	https://news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3LnRvZGF5b25saW5lLmNvbS93b3JsZC9jaGlsZC1tYXJyaWFnZS1jYW5ub3QtYmUtY29uZG9uZWQtZXZlbi1pZi1yZWxpZ2lvbi1kb2VzLXNheXMtbXNpYW4tbXDSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
The Sun Daily	1549886640	Rohingya child bride, family disappear (Updated)	GEORGE TOWN: Barely days after her wedding plans were put on ice, an 11-year-old Rohingya girl has disappeared together her parents and younger siblin...	https://news.google.com/articles/CBMiV2h0dHBzOi8vd3d3LnRoZXN1bmRhaWx5Lm15L2xvY2FsL3JvaGluZ3lhLWNoaWxkLWJyaWRlLWZhbWlseS1kaXNhcHBlYXItdXBkYXRlZC1GQzQ5OTQyMdIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
The Tribune India	1547884800	Child marriage prevented	TheTribune: PANIPAT: The District Women's Protection and Child Marriage Prohibition Officer and the police on Friday prevented the marriage of a 12-year-old ...	https://news.google.com/articles/CAIiEKZpkO9Ku6upKx23PZD1onQqGQgEKhAIACoHCAowyo-HCzD-tIUDMLjhlgY?hl=en-IN&gl=IN&ceid=IN%3Aen
ReliefWeb	1548754474	ECOWAS moves to protect Child rights and prevent Child marriage in the region - World	English News and Press Release on World about Protection and Human Rights, Children and Women; published on 28 Jan 2019 by ECOWAS.	https://news.google.com/articles/CAIiEE6wgAjk-y4GxhBO8BQJusIqGQgEKhAIACoHCAow4OH9CjCg6_UCMJ-42gU?hl=en-IN&gl=IN&ceid=IN%3Aen
RadioFarda	1548662400	Despite Outrage, No End In Sight For Child Marriage In Iran	It should come as no surprise that a parliamentary motion banning child marriage proposed in December in Iran was killed in its infancy. Many of the clerics who ...	https://news.google.com/articles/CBMiXGh0dHBzOi8vZW4ucmFkaW9mYXJkYS5jb20vYS9tYW55LWlyYW4tcmVsaWdpb3VzLWxlYWRlcnMtc3VwcG9ydC1jaGlsZC1tYXJyaWFnZS8yOTczNTQxMy5odG1s0gF1aHR0cHM6Ly9lbi1yYWRpb2ZhcmRhLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL2VuLnJhZGlvZmFyZGEuY29tL2FtcC8yOTczNTQxMy5odG1sP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
Rudaw	1548489600	With no money or security, Iraqi IDPs turn to child marriage	ERBIL, Kurdistan Region – Five years after the start of the ISIS crisis in Iraq, 1.8 million Iraqis are still displaced. Under the stress of this prolonged displacement ...	https://news.google.com/articles/CBMiMGh0dHA6Ly93d3cucnVkYXcubmV0L2VuZ2xpc2gva3VyZGlzdGFuLzI2MDEyMDE5NdIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
Jakarta Globe	1548230400	NU Chairman Calls on Indonesian Muslims to Help Prevent Child Marriage	Nahdlatul Ulama chairman Said Aqil Siradj has called on Muslims to play an active role in helping to prevent child marriage in Indonesia.	https://news.google.com/articles/CBMiZmh0dHBzOi8vamFrYXJ0YWdsb2JlLmlkL2NvbnRleHQvbnUtY2hhaXJtYW4tY2FsbHMtb24taW5kb25lc2lhbi1tdXNsaW1zLXRvLWhlbHAtcHJldmVudC1jaGlsZC1tYXJyaWFnZdIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
